author,lng,lat
C. J. Cherryh,-22.2981,-34.3453
Friedrich Wilhelm Nietzsche,9.3263,-13.0362
Alice Walker,28.7711,-29.322
R. K. Narayan,-10.1026,-43.5893
Fay Weldon,23.7324,-27.2618
Washington Irving,-8.8378,-17.1327
Diane Duane,0.0914,-49.4356
Chuck Palahniuk,-22.2045,-34.5111
Monica Hughes,-7.0618,-48.0796
Jodi Picoult,-3.1546,-43.9475
Poul Anderson,-2.3571,-50.1205
Ian McEwan,-7.2195,-33.7536
Dante Alighieri,3.0228,-21.3174
Chinua Achebe,-16.553,-32.1654
Paul Auster,-10.7915,-46.1675
Robert J. Conley,29.1591,-32.1371
Anthony Burgess,-15.4898,-38.308
Stephen E. Ambrose,-0.4638,-3.2438
Gordon Korman,-6.0491,-47.4108
Kevin J. Anderson,1.0372,-47.2185
Karl Marx,23.9552,-26.5124
Eric Walters,-18.7207,-31.5417
Julius Lester,-16.8496,-38.8814
Tracy Kidder,2.2447,-37.2515
Roger Zelazny,-2.6227,-48.1417
Judith Krantz,-16.9069,-34.5877
Samuel R. Delany,-14.235,-43.6639
William Edward Burghardt Du Bois,23.6832,-25.5023
Neal Stephenson,29.5345,-56.8798
Barbara Kingsolver,15.1536,-37.6676
Alexander McCall Smith,-18.6248,-36.5346
Alan Axelrod,9.8616,-46.9045
Diane Glancy,-4.2676,-31.2487
Louise Erdrich,-11.368,-32.573
Harold Pinter,-0.5773,-36.2331
Upton Sinclair,14.2537,-4.8281
Peter David,-2.0513,-49.2814
Joseph Wambaugh,-16.535,-39.8912
Kaye Gibbons,5.5217,-41.7352
Bernard Waber,-0.6663,-45.5507
V.C. Andrews,-13.8294,-33.1319
Judith McNaught,-16.7688,-36.264
Edward Abbey,20.3103,-35.889
Anthony Horowitz,-7.7609,-47.7934
George R. R. Martin,29.0713,-56.6551
Erin Hunter,-0.996,-47.185
Jeanette Winterson,-16.7021,-31.1737
Sophocles,-9.7728,-29.8403
Ovid,1.8177,-18.401
Douglas Coupland,-15.9101,-40.1076
James Ellroy,12.5606,-39.0155
Geoffrey Chaucer,-5.1456,-20.074
John Jakes,-4.9723,-47.8935
Stephen Baxter,-0.6423,-50.3783
Truman Capote,28.5492,-56.3219
James Oliver Curwood,-8.5599,-34.9041
Cherie Bennett,-11.1732,-37.3762
James Thurber,8.5714,-34.6108
David Brin,28.7134,-56.3583
Gail Godwin,-0.9726,-41.3378
Paula Fox,9.3856,-45.9669
John Gardner,-4.5776,-43.2032
Margaret Peterson Haddix,11.3608,-47.1411
E. L. Doctorow,-2.0331,-44.7935
Anton Pavlovich Chekhov,15.9486,-25.0392
Euripides,6.528,-19.777
Mario Puzo,-6.8247,-44.0964
Paula Danziger,-6.549,-46.7896
Ana Castillo,-14.8277,-31.1672
Martin Gilbert,-3.0977,-14.1871
Juliet Marillier,-17.2582,-34.9535
Tamora Pierce,4.0034,-42.3241
D. H. Lawrence,0.0685,-28.5166
Dave Barry,9.8051,-47.5734
Stephen L. Nelson,17.2895,16.9077
Mahāśvetā Debī,-31.8985,-17.6773
Francine Rivers,7.3751,-39.1462
William Butler Yeats,-10.7398,-25.1844
Frank Norris,10.7212,-40.8046
Elizabeth Levy,9.9427,-44.3289
Jean-Luc Nancy,23.5109,-9.5623
William S. Burroughs,-4.7717,-25.3649
Chelsea Quinn Yarbro,-2.3777,-25.1432
Johann Wolfgang von Goethe,1.6036,-33.4051
Kenneth Koch,-1.1051,-36.2646
Lewis Carroll,-6.9973,-19.3932
Mark Kurlansky,21.4719,-25.8706
Ezra Jack Keats,-0.2877,-19.2301
Gustave Flaubert,3.4152,-26.1875
James Clavell,22.5865,-10.3164
Iris Murdoch,-12.2156,-40.2636
David Morrell,0.7017,-32.2712
Jacqueline Woodson,-8.0506,-46.1698
"L. E. Modesitt, Jr.",-11.91,-38.0986
David Weber,-16.482,-37.1126
Ayn Rand,21.1892,-8.5599
Donald Crews,8.3268,-47.1905
Alistair MacLean,-20.6183,-36.6833
Bret Lott,-18.0275,-31.5102
Carole Nelson Douglas,-3.86,-41.7059
Irvine Welsh,-17.774,-32.9784
Ridley Pearson,-0.4682,-42.6
Cormac McCarthy,-20.0695,-30.1226
Erich Segal,-24.9361,-26.6958
Kathryn Lasky,9.8193,-29.4964
Dean Koontz,-12.6242,-36.0445
Suzanne Brockmann,4.8603,-44.9866
Northrop Frye,-2.5644,-9.1931
